Indicator Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ores and metals imports (% of merchandise imports),3.422771121,2.649517165,2.755995258,2.576421991,2.895261574,3.061710467,2.899558898,2.793171144,3.276176237,3.875498299,3.860890888,5.023482702,4.740995534,4.138096427,2.851768673,3.411708723,3.368846214,2.981554313,2.665897053,2.826111291,3.309480596,3.09826021,3.255105585,3.453110078
Fuel imports (% of merchandise imports),12.07925684,13.12315406,11.62172358,9.23750107,11.29793719,14.87174927,13.91698073,14.79504549,15.47542049,18.25453494,18.3155035,18.78210523,19.53377683,20.59051004,15.97069796,17.17740259,19.01998282,18.51335779,19.55332743,20.13299716,15.62116419,12.37375775,14.71698911,15.13249176
"Tariff rate, most favored nation, weighted mean, primary products (%)",9.29,7.6,6.96,9.12,8.06,6.41,4.37,4.18,3.93,3.25,2.75,2.85,2.46,2.47,3.38,3.05,2.87,2.9,2.99,3,3.9,5.3,6.17,5.33
"Tariff rate, applied, simple mean, primary products (%)",9.02,10.34,10.26,12.9,11.22,12.23,11.74,10.86,10.83,9.13,7.97,7.77,7.83,7.89,8.04,7.95,8.18,8.36,9.77,8.5,8.6,8.49,8.54,8.54
"Tariff rate, most favored nation, weighted mean, all products (%)",12.69,14.83,14,15.94,13.85,12.69,10.47,10.01,9.53,9.06,8.54,8.46,8.58,8.58,9.92,10.09,10.1,10.12,10.08,9.92,10.32,10.19,10.87,10.99
"Tariff rate, applied, simple mean, all products (%)",13.23,14.8,14.42,17.15,15.89,16.7,15,14.73,14.39,13.18,12.29,12.1,12.15,13.08,13.32,13.34,13.47,13.75,14.81,13.74,13.66,13.56,13.41,13.46
"Tariff rate, most favored nation, weighted mean, manufactured products (%)",14.08,17.39,16.49,18.04,15.69,14.94,12.38,12.04,11.65,11.41,10.8,10.85,11.15,11.17,12,12.56,12.91,12.78,12.8,12.68,12.37,11.64,12.03,12.36
"Tariff rate, applied, simple mean, manufactured products (%)",13.84,15.43,15,17.73,16.47,17.21,15.35,15.15,14.79,13.61,12.74,12.56,12.6,13.63,13.87,13.9,14.01,14.31,15.34,14.31,14.21,14.13,13.96,14.01
Import volume index (2000 = 100),86.53957395,89.93359859,106.5973473,105.5583489,92.92702424,100,102.9592036,90.6405592,87.59148939,103.3554316,108.6006394,125.4838526,155.4805407,183.7040033,150.7791627,208.6519084,224.8806353,220.5308349,237.7809035,231.4235008,196.4778345,172.7344367,181.8661944,204.1803306
"International tourism, expenditures for travel items (current US$)",3391000000,4387000000,5419000000,5385000000,3085000000,3894000000,3199000000,2396000000,2261000000,2871000000,4720000000,5764000000,8211000000,10962000000,10898000000,15965000000,20802000000,22039000000,25028000000,25567000000,17357000000,14497000000,19002000000,18266000000
"International tourism, receipts (% of total exports)",2.061131058,1.416980916,1.730961136,2.390899488,3.142858273,3.078735292,2.756143706,3.088948405,3.226061196,3.132621426,3.117175413,2.932319626,2.883059548,2.690011158,3.137319978,2.381617752,2.178753032,2.358783914,2.427716094,2.805942481,2.795880474,3.040199424,2.445948142,2.300450239
Unmet need for contraception (% of married women ages 15-49),,10.8,,,,,,,,,,6,6,,,,,,,,,,,
Rural population (% of total population),22.39,21.698,20.952,20.219,19.504,18.808,18.447,18.12,17.797,17.479,17.166,16.857,16.552,16.251,15.956,15.665,15.369,15.077,14.791,14.508,14.23,13.958,13.691,13.431
Completeness of birth registration (%),,,,,,,,,,,89,,,91,,,92.8,,,95.9,96.4,,,
"Completeness of birth registration, female (%)",,,,,,,,,,,,,,,,,,,,,,,,
"Population, female",82360145,83659561,84953439,86240036,87504861,88749390,89978663,91173105,92310671,93418462,94515633,95583318,96616434,97612571,98581682,99546667,100509285,101450818,102366379,103274465,104179515,105065188,105937948,106812144
Population growth (annual %),1.562366948,1.530465468,1.50015144,1.468339709,1.420222287,1.36677133,1.320694758,1.262841536,1.185669439,1.139393012,1.117202878,1.077353846,1.032027233,0.987284203,0.953147865,0.939418022,0.92858963,0.900343361,0.86834615,0.857834829,0.845992601,0.811256478,0.7922634,0.793768154
Sex ratio at birth (male births per female births),1.046,1.046,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045
"Population ages 75-79, female (% of female population)",0.939390041,0.964357798,0.995474709,1.032317519,1.073239806,1.116571618,1.161602606,1.207404311,1.252826982,1.297431437,1.341123121,1.383688634,1.424101929,1.461304618,1.495032827,1.52629469,1.557391431,1.589994088,1.626041683,1.666460824,1.708151062,1.749075536,1.788825465,1.825561154
"Population ages 65 and above, total",8134166,8433995,8741568,9053344,9366429,9679708,10005125,10346447,10699609,11070563,11461295,11866962,12281410,12702881,13130573,13563871,14006244,14474138,14989905,15579806,16222681,16883570,17573065,18296251
"Population ages 65 and above, female",4413223,4599697,4791364,4985644,5180586,5378613,5585021,5797637,6013409,6236793,6468583,6705767,6945978,7187711,7431409,7679269,7937019,8212371,8512943,8853008,9225224,9613676,10017936,10437447
"Population ages 60-64, female (% of female population)",2.697440613,2.713864946,2.733138325,2.757855412,2.790999805,2.829700013,2.87030158,2.911511021,2.950948634,2.988724525,3.029022739,3.079934425,3.149392783,3.243124819,3.371181592,3.524279705,3.678705387,3.825165825,3.961045628,4.077524875,4.181535573,4.289102876,4.40267965,4.521626794
"Population ages 50-54, female (% of female population)",3.763311733,3.804314727,3.867171287,3.958405699,4.089475669,4.248531736,4.408058917,4.557642849,4.694122499,4.807983219,4.909235517,5.016035356,5.130050132,5.251165883,5.375364286,5.49901231,5.621152784,5.739214965,5.849113771,5.944110676,6.016180311,6.063459859,6.086482787,6.087208614
"Population ages 40-44, female (% of female population)",5.846083685,5.941007149,6.042525836,6.150216588,6.260732761,6.371318721,6.48102536,6.586905755,6.684934038,6.76725385,6.824152079,6.853296863,6.856611992,6.837756619,6.809910724,6.791039991,6.788015621,6.804097463,6.843064622,6.892359597,6.9448576,7.009988884,7.088338132,7.175757127
"Population ages 30-34, female (% of female population)",7.997564234,7.991171505,7.953796903,7.8900657,7.817176008,7.757539517,7.718658768,7.70368301,7.716982646,7.743909829,7.774910674,7.819140092,7.879288424,7.952352817,8.040808271,8.139474885,8.234831199,8.318808767,8.382669722,8.416831305,8.416124281,8.382370191,8.321055981,8.234560895
"Population ages 20-24, female (% of female population)",9.0558953,9.063148801,9.087066505,9.124125366,9.178826648,9.2465413,9.31147138,9.364673387,9.39734633,9.399304768,9.363460589,9.289228217,9.186298989,9.060451902,8.917943847,8.767884671,8.617359537,8.465940159,8.325781904,8.207248036,8.110449986,8.037493351,7.982898593,7.932992188
"Population ages 15-64, male",50298050,51458836,52636445,53819949,54997235,56159166,57296695,58405034,59475201,60508141,61508635,62476425,63416084,64339408,65255989,66176107,67101577,68010987,68891214,69721347,70486998,71212213,71897856,72524650
"Population ages 15-19, female (% of female population)",10.02813497,10.07362028,10.10365631,10.10844024,10.08100167,10.01761083,9.915624608,9.783761341,9.63002907,9.459539649,9.279043866,9.097585465,8.916942639,8.750518459,8.610929405,8.498679778,8.409786178,8.339511409,8.277679685,8.200083147,8.095146593,7.970171338,7.823690299,7.643832651
"Population ages 05-09, female (% of female population)",10.72359331,10.46582709,10.20864971,9.968050106,9.760698894,9.587206177,9.442314066,9.321959036,9.216762116,9.099016161,8.9543653,8.788164315,8.600571514,8.38204184,8.16327575,7.969547549,7.787584959,7.614979051,7.461242194,7.316189922,7.170948592,7.040718854,6.926095987,6.820773614
"Population ages 0-14, male",27136189,27084427,27006619,26912119,26798343,26664068,26516419,26349736,26157205,25961669,25780353,25599744,25411504,25205168,24980714,24746116,24505214,24254135,23987212,23737040,23524234,23312283,23114026,22970994
"Population ages 00-04, female (% of female population)",10.40127176,10.21840289,10.0606351,9.915924084,9.758862425,9.576529484,9.372564197,9.148127619,8.894698594,8.643265778,8.419975394,8.211945563,8.016019304,7.841699036,7.678787666,7.517185847,7.371067721,7.242495113,7.126183456,7.029938136,6.954578321,6.864968918,6.774427957,6.715135344
Female headed households (% of households with a female head),,20,,,,,,,,,,,,,,,,,,,,,,
"Fertility rate, total (births per woman)",2.579,2.516,2.465,2.409,2.331,2.255,2.183,2.103,2.023,2.002,1.974,1.927,1.881,1.842,1.825,1.81,1.8,1.767,1.748,1.767,1.777,1.709,1.736,1.749
"Mortality rate, infant, male (per 1,000 live births)",45.4,42.8,40.4,38.1,35.9,33.8,31.7,29.8,28,26.2,24.5,23,21.7,20.5,19.5,18.6,17.8,17.1,16.6,16.2,15.8,16.7,15.3,15.1
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",,70.3,,,,,,,,,,,77.1,,,,,,77.7,,,,,
"Mortality rate, adult, female (per 1,000 female adults)",139.472,135.476,132.311,129.503,126.806,121.39,116.839,115.572,114.059,109.656,105.294,103.048,101.099,98.587,96.702,94.087,93.534,91.547,89.138,86.15,84.634,81.943,80.037,77.695
Consumption of iodized salt (% of households),,92.9,,,,,,,,,,,98.4,,,,,,,,,,,
"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",,,,,,,,,,,,,,,,,,,,,,1,,
"Suicide mortality rate, female (per 100,000 female population)",,,,,,1.7,1.9,2.1,1.9,2,2.1,2.2,2.3,2.3,2.3,2.5,2.5,2.6,2.6,2.5,2.8,2.7,3,3.1
"Prevalence of stunting, height for age, female (% of children under 5)",,11.1,,,,,,,,,,,5.8,,,,,,,,,,,
"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",,,,,,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.3,0.3,0.2,0.2,0.2
"Prevalence of overweight (modeled estimate, % of children under 5)",,,,,,6.2,6.2,6.3,6.4,6.4,6.5,6.5,6.6,6.6,6.7,6.8,6.8,6.9,6.9,7,7.1,7.1,7.1,7.2
Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),,28.2,,,,,,,,,,,,,,,,,,,,,,
"Maternal mortality ratio (national estimate, per 100,000 live births)",44,193,101,109,113,98,67,72,77,74,78,71,79,78,72,69,66,60,58,61,64,63,62,59
"Prevalence of underweight, weight for age, female (% of children under 5)",,4.2,,,,,,,,,,,2.2,,,,,,,,,,,
Female genital mutilation prevalence (%),,,,,,,,,,,,,,,,,,,,,,,,
Exclusive breastfeeding (% of children under 6 months),,,,,,,,,,,,38.6,38.6,41,,,,,,,,,,
ARI treatment (% of children under 5 taken to a health provider),,,,,,,,,,,,49.7,,,,,,,,,,,,
"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)",,,,,,,,,,,,,,,,,,,,,,24,,
"Prevalence of current tobacco use, males (% of male adults)",,,,,,29.6,,,,,25.5,,,,,21.8,,,,,18.8,,,17.2
Lifetime risk of maternal death (%),,,,,,0.17294214,0.164305534,0.161474042,0.158211445,0.156417541,0.151446028,0.148362345,0.143658096,0.138224573,0.132982975,0.122627133,0.115344068,0.111023074,0.11230495,0.113468647,0.114683643,0.111558308,0.106251551,
Use of insecticide-treated bed nets (% of under-5 population),,,,,,,,,,,,,,,,,,,,,,,,
"Nurses and midwives (per 1,000 people)",1.5762,1.8444,2.0555,2.2744,2.5418,3.7709,2.9897,3.377,3.6596,3.7286,,,,,,,,,7.5635,8.788,9.1081,9.351,9.737,
"Immunization, DPT (% of children ages 12-23 months)",81,77,79,93,94,98,98,99,99,99,99,99,99,99,99,99,99,95,97,93,96,89,89,87
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",,,,,,,,,,,,,,,,,,,,,,,,
Children (ages 0-14) newly infected with HIV,,,,,,,,,,,,,,,,,,,,,,,,
"Prevalence of HIV, female (% ages 15-24)",,,,,,,,,,,,,,,,,,,,,,,,
"People using safely managed drinking water services, rural (% of rural population)",,,,,,46.97543851,49.0512573,50.8353342,51.52990064,52.22446709,52.91903353,53.61359998,54.30816642,55.00273287,55.69729931,56.39186576,57.0864322,57.78099864,59.45096467,61.14410207,62.86041085,64.15227015,66.36254256,68.14836549
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),,80.2,,,,,,,,,,,,,,,,,,,,,,
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",,,,,,17.9,17.3,16.9,16.5,16.4,15.5,15.4,15.1,15.1,14.7,14.5,14.5,14,13.7,13.3,13.3,13.3,13,12.8
"Prevalence of HIV, total (% of population ages 15-49)",0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"Probability of dying among adolescents ages 10-14 years (per 1,000)",2,2,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.4
Number of under-five deaths,173799,162713,151941,141981,131906,121904,112438,103195,94129,86541,80510,74540,68832,63892,59967,56852,54273,51861,49731,48548,47908,49555,45063,44802
Number of deaths ages 20-24 years,24568,25165,25593,25909,26258,26707,27142,27434,27542,27483,27338,27213,27264,27459,27667,27828,27947,27973,27979,28006,28017,27901,27569,27030
"Condom use, population ages 15-24, male (% of males ages 15-24)",,50.8,,,,,,,,,,,,,,,,,,,,,,
Prevalence of anemia among women of reproductive age (% of women ages 15-49),,,,,,26.9,26.3,25.8,25.4,24.9,24.2,23.6,22.8,22,20.9,19.9,19.1,18.3,17.7,17.2,16.8,16.5,16.3,16.2
Women who believe a husband is justified in beating his wife when she refuses sex with him (%),,,,,,,,,,,,,,,,,,,,,,,,
Women who believe a husband is justified in beating his wife when she burns the food (%),,,,,,,,,,,,,,,,,,,,,,,,
"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",,,,,,,,,,,,,,,17.63889,,,13.18363,,,,,11.60814,
"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)",,,,,,,,,,,,,,,,,,,,,,,,
"Government expenditure per student, tertiary (% of GDP per capita)",,,,78.56891,56.15402,54.77987,47.0537,44.34165,,32.36675,34.63414,,29.00597,27.01758,27.69676,27.66643,27.41477,27.88126,29.81738,28.79964,33.04323,,,
"Government expenditure per student, primary (% of GDP per capita)",,,,,10.62585,10.5463,10.36094,9.79901,,12.68983,15.19637,,16.92151,18.13079,19.65354,20.5004,20.12935,19.54553,19.66313,19.45078,20.05496,,,
"Current education expenditure, primary (% of total expenditure in primary public institutions)",,,,93.61084747,93.17520905,91.9165802,91.07776642,90.00318146,,92.83094025,93.17427063,93.26553345,92.98452759,93.22122955,94.60437012,94.15756989,94.31739807,91.35135651,94.71939087,93.99880981,96.09528351,96.96179199,97.76809692,96.99684906
"School enrollment, tertiary (% gross)",,,,,16.08415985,,18.15427971,20.69566917,23.21698952,24.49123955,25.98962975,,30.78668976,35.56209946,37.03839874,,43.45983124,45.17753983,47.05736923,50.17644882,51.32004166,50.73448944,51.57070923,53.25735092
"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",,,,,,,,,,8.628899574,,9.121199608,10.14060974,10.83580971,11.56657982,12.51467037,12.64608955,13.24934959,13.99300003,14.70135021,15.06099987,16.9192791,17.54055977,18.29206085
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",,,,,,,,,,,,,,,,,,,,,,0.204339996,0.217360005,0.257620007
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",,,,,,,,,,,,,,,,,,,,,,13.56130028,13.6858902,14.54734039
"Adolescents out of school, female (% of female lower secondary school age)",,,,,,,,,,,,,6.007629871,,0.644209981,,3.568520069,5.598080158,3.238699913,3.358570099,4.483769894,3.590650082,4.807879925,3.283849955
Trained teachers in secondary education (% of total teachers),,,,,,,,,,,,,,,,,,,,,,,,
"Trained teachers in secondary education, male (% of male teachers)",,,,,,,,,,,,,,,,,,,,,,,,
"Trained teachers in secondary education, female (% of female teachers)",,,,,,,,,,,,,,,,,,,,,,,,
"School enrollment, secondary, private (% of total secondary)",,,,,,,,11.04648972,10.89004993,12.28985023,12.53761959,,11.4373703,12.64056969,13.07631969,13.63632011,14.29386997,14.98104,12.8780899,13.37310028,13.85562992,13.77169991,13.74407005,13.86009979
"School enrollment, secondary, male (% gross)",,,,,,,,105.9182663,96.59882355,97.55779266,96.51869965,,89.76165009,91.12729645,91.45065308,,90.85148621,90.83574677,100.6663132,99.30653381,98.21192932,100.4658585,101.4903793,103.4426727
"Secondary education, vocational pupils",,,,2260240,,,,471227,452342,717568,753523,,997258,1129584,1232675,1323663,1416520,1496569,874889,898666,893860,978202,956632,
"Secondary education, general pupils (% female)",,,,,51.23021,51.10692,51.43955,51.51125,51.34833,51.65723,51.66359,,51.47263,51.4235,51.31418,51.15403,51.00768,50.81348,50.49706,50.3012,50.04801,49.75254,49.52436,
"Secondary education, duration (years)",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",,,,,,,,,,,,,,,,,,,,,,,,
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",,,,,,,,,,41.53660965,,44.35015106,46.69746017,48.49417877,49.04125977,49.08570862,52.42504883,53.31824875,54.26007843,54.71786118,55.98748016,56.70803833,57.45854187,58.2603302
"Lower secondary completion rate, female (% of relevant age group)",,,,,,,,,,,,,,,,,,,,,,,,
"Children out of school, primary, male",,,,,,,,,,,,,,,218767,,359073,495994,297627,279379,337852,329821,358763,397177
"Adjusted net enrollment rate, primary, male (% of primary school age children)",,,,,,,,,,97.56952,,,91.31626,,95.6996,,95.98259,97.86306,96.82718,97.2684,96.67031,,,
"Primary education, teachers",,,,,807053,815079,858813,867003,877204,887428,886781,,754291,773624,770703,762132,774575,786411,789575,795014,791787,793276,796457,798957
"Repeaters, primary, total (% of total enrollment)",,,,,24.04412,25.01127,21.46805,20.61118,19.95374,20.13395,18.6657,,,11.8231,10.8305,9.44715,8.74965,,,,,,,
"Persistence to last grade of primary, male (% of cohort)",,,,,,,,,,,,,,,,,,,,,,,,
"Persistence to grade 5, female (% of cohort)",,,,,,,,,,,,,,,,,,,,,,,,
"Over-age students, primary, female (% of female enrollment)",,,,,,,,,,24.65595,20.56398,,20.05731,17.39508,17.25111,17.5528,17.89656,17.63904,14.53626,13.82354,12.86194,12.21149,12.63972,
"School enrollment, primary, male (% net)",,,,,,,,,,96.67737,,,90.59584,,94.80411,,95.42086,97.48756,93.64303,94.94907,94.77706,,,
"Gross intake ratio in first grade of primary education, male (% of relevant age group)",,,,,,,126.97096,,,121.60334,,,,,,,,,,,,,,
"School enrollment, primary (% gross)",,,,,165.6453857,,150.785553,146.8277893,140.5444946,133.6963043,133.2621613,,128.1797943,132.0552063,131.1651611,,106.9850616,104.7822266,109.945137,110.3164597,109.1521835,108.757843,109.8085098,108.623291
"Primary education, duration (years)",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5
"Primary completion rate, total (% of relevant age group)",,,,,,,112.2296066,114.1994324,109.3666077,100.6846466,,,,,,,,,,,,,,
Trained teachers in preprimary education (% of total teachers),,,,,,,,,,,,,,,,,,,,,,,,
"School enrollment, preprimary, female (% gross)",,,,,,,,,,,,,,,,,,,87.95030212,91.21103668,90.78405762,98.77426147,97.14378357,96.14644623
"School enrollment, tertiary (gross), gender parity index (GPI)",,,,,1.19738996,,1.198619962,1.235550046,1.239279985,1.221240044,1.222270012,,1.209619999,1.226709962,1.243299961,,1.238600016,1.258020043,1.259760022,1.264750004,1.253520012,1.276379943,1.268149972,1.266340017
"Compulsory education, duration (years)",,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14
"Literacy rate, youth total (% of people ages 15-24)",,,,,,94.18411255,,,,96.84385681,,97.58229828,97.80062866,97.84362793,98.0655365,97.51412201,98.48692322,98.61965942,98.73667908,98.84568787,98.96375275,99.11096191,99.15541077,99.20417023
Real effective exchange rate index (2010 = 100),101.5445702,107.128998,109.8790424,106.8182405,71.01461326,76.57292818,63.93932594,60.93775731,57.59516329,60.4518251,73.46500341,81.73135489,87.43495293,90.37486361,89.1627395,100,103.1833448,92.01086851,86.45418455,84.61974422,69.65278055,73.25991873,79.76482703,71.44100728
Coverage of social insurance programs in 2nd quintile (% of population),,,,,,,,,,,,23.39756718,,,21.54428388,,23.44596747,22.88914956,,,26.33465022,24.47529309,24.92759683,26.20904259
General government final consumption expenditure (constant 2015 US$),2.40477E+11,2.36086E+11,2.39029E+11,2.4673E+11,2.50895E+11,2.50516E+11,2.57069E+11,2.6688E+11,2.7114E+11,2.8165E+11,2.87314E+11,2.97544E+11,3.09652E+11,3.15985E+11,3.25291E+11,3.38044E+11,3.45496E+11,3.53363E+11,3.58699E+11,3.61616E+11,3.56421E+11,3.57173E+11,3.54777E+11,3.57569E+11
Military expenditure (% of general government expenditure),,4.32646869,4.087180115,4.064239474,4.156429252,5.019227513,5.387003398,4.871397455,3.667725042,3.828258295,3.83283376,3.778695468,3.897719433,3.854203644,4.147187428,3.858834731,3.757367969,3.70330284,3.550302082,3.453669801,3.548453366,3.400626373,3.692490279,3.897979106
Armed forces personnel (% of total labor force),0.965349335,0.969217256,0.959959083,0.934358748,0.875947456,0.848422705,0.826500564,0.799027058,0.785232882,0.780098942,0.742830658,0.821962193,0.7775178,0.767549506,0.745509543,0.748137445,0.751439793,0.734122134,0.724105392,0.732216942,0.720143649,0.713247012,0.701386119,0.722228904
Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),,,,,,,,,,,,,3.1,,,4.14,,3.55,,3.387455,,3.391947,,3.51
Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),,,,,,,,,,,,,2.75,,,3.1,,3.07,,2.927419,,3.110258,,2.93
Individuals using the Internet (% of population),0.105138168,0.450789179,0.786079155,1.477874959,2.038732184,2.870685159,4.528494869,9.149425086,13.2075861,19.07367227,21.02274725,28.17838018,30.88,33.83,39.22,40.65,45.69,48.56,51.04,54.55100188,58.32795173,60.87254007,67.47128452,70.43428254
Fixed broadband subscriptions,,,,1000,7000,100000,331000,731000,966252,3157466,3233800,4767007,7609452,10016914,11729995,14100890,17833051,19119646,21360635,23968352,25482478,26860779,28907867,31233004
Mobile cellular subscriptions,1285533,2498154,4550000,7368218,15032698,23188171,28745769,34880964,46373266,65605000,86210336,99918621,120980103,150641403,169385584,196929978,234357507,248323703,271099799,280728796,257814274,244067356,221269215,209410048
"Railways, passengers carried (million passenger-km)",,,,,,,,,,,,,,,,,,,15191,15901,15877,15648,15807,16422
"Air transport, registered carrier departures worldwide",453500,483600,568600,609900,692600,628081,654106,627878,486777,486025,514700,560838,649738,647753,752225,841793,970561,1002565,952307,937437,944557,826943,803846,832683
Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100),,,,,,,,,,,,,,,,,,,,,,80.6,79.46666667,83.3
